Município;ICD10 Chapter I;ICD10 Chapter II;ICD10 Chapter III;ICD10 Chapter IV;ICD10 Chapter V;ICD10 Chapter VI;ICD10 Chapter VII;ICD10 Chapter VIII;ICD10 Chapter IX;ICD10 Chapter X;ICD10 Chapter XI;ICD10 Chapter XII;ICD10 Chapter XIII;ICD10 Chapter XIV;ICD10 Chapter XV;ICD10 Chapter XVI;ICD10 Chapter XVII;ICD10 Chapter XVIII;ICD10 Chapter XX;Total;cod_municipio
250403 Capim;0.0;6.0;0.0;2.0;2.0;0.0;0.0;0.0;14.0;5.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;37.0;250403
250407 Caraúbas;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;8.0;6.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;3.0;28.0;250407
250410 Carrapateira;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;13.0;250410
250415 Casserengue;1.0;14.0;0.0;6.0;0.0;0.0;0.0;0.0;15.0;5.0;5.0;1.0;0.0;1.0;1.0;2.0;0.0;1.0;3.0;55.0;250415
250420 Catingueira;2.0;8.0;1.0;2.0;0.0;0.0;0.0;0.0;13.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;36.0;250420
250430 Catolé do Rocha;8.0;38.0;2.0;17.0;3.0;7.0;0.0;0.0;53.0;23.0;5.0;0.0;4.0;1.0;0.0;2.0;1.0;10.0;39.0;213.0;250430
250435 Caturité;2.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;8.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;2.0;22.0;250435
250440 Conceiçăo;2.0;10.0;0.0;5.0;0.0;1.0;0.0;0.0;20.0;12.0;6.0;0.0;0.0;1.0;0.0;0.0;1.0;29.0;14.0;101.0;250440
250450 Condado;3.0;9.0;0.0;2.0;0.0;1.0;0.0;0.0;20.0;7.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;12.0;6.0;65.0;250450
250460 Conde;9.0;15.0;1.0;5.0;3.0;1.0;0.0;0.0;32.0;15.0;8.0;0.0;2.0;2.0;0.0;2.0;2.0;1.0;38.0;136.0;250460
250470 Congo;0.0;5.0;0.0;4.0;0.0;0.0;0.0;0.0;18.0;4.0;2.0;0.0;0.0;3.0;0.0;2.0;0.0;7.0;3.0;48.0;250470
250480 Coremas;6.0;27.0;2.0;6.0;1.0;2.0;0.0;0.0;19.0;20.0;1.0;0.0;0.0;4.0;0.0;1.0;2.0;6.0;18.0;115.0;250480
250485 Coxixola;0.0;4.0;0.0;3.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;17.0;250485
250490 Cruz do Espírito Santo;5.0;15.0;1.0;2.0;0.0;0.0;0.0;0.0;25.0;10.0;6.0;0.0;2.0;1.0;0.0;1.0;1.0;5.0;16.0;90.0;250490
250500 Cubati;0.0;11.0;0.0;4.0;2.0;0.0;0.0;0.0;14.0;2.0;1.0;3.0;0.0;1.0;0.0;0.0;1.0;4.0;4.0;47.0;250500
250510 Cuité;3.0;23.0;1.0;13.0;3.0;5.0;0.0;0.0;62.0;20.0;9.0;3.0;4.0;3.0;1.0;2.0;0.0;11.0;22.0;185.0;250510
250523 Cuité de Mamanguape;0.0;3.0;0.0;2.0;0.0;1.0;0.0;0.0;21.0;9.0;3.0;1.0;1.0;4.0;0.0;1.0;0.0;0.0;3.0;49.0;250523
250520 Cuitegi;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;21.0;3.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;6.0;3.0;41.0;250520
250527 Curral de Cima;2.0;5.0;0.0;6.0;0.0;3.0;0.0;0.0;15.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;43.0;250527
250530 Curral Velho;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;15.0;250530
250535 Damiăo;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;9.0;4.0;24.0;250535
250540 Desterro;1.0;9.0;0.0;1.0;2.0;1.0;0.0;0.0;27.0;8.0;3.0;0.0;1.0;1.0;1.0;1.0;1.0;3.0;6.0;66.0;250540
250560 Diamante;1.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;7.0;2.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;14.0;3.0;37.0;250560
250570 Dona Inês;3.0;5.0;1.0;5.0;0.0;1.0;0.0;0.0;28.0;8.0;7.0;0.0;0.0;0.0;1.0;1.0;1.0;7.0;3.0;71.0;250570
250580 Duas Estradas;0.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;6.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;22.0;250580
250590 Emas;2.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;7.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;22.0;250590
250600 Esperança;7.0;43.0;2.0;28.0;5.0;11.0;0.0;0.0;70.0;22.0;10.0;0.0;1.0;16.0;1.0;1.0;4.0;1.0;29.0;251.0;250600
250610 Fagundes;2.0;5.0;0.0;7.0;1.0;0.0;0.0;0.0;19.0;4.0;4.0;0.0;1.0;4.0;0.0;1.0;0.0;17.0;10.0;75.0;250610
250620 Frei Martinho;2.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;4.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;20.0;250620
250625 Gado Bravo;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;14.0;7.0;3.0;0.0;1.0;1.0;0.0;1.0;0.0;3.0;3.0;39.0;250625
